"pictureID","pathWhereItsNotFound","newPath"
37636,previews/2484/37636_s.jpeg,previews/9/37636_s.jpeg
37636,images/2484/37636.tif,images/2449/37636.tif
37636,previews/2484/37636_s.jpeg,previews/2449/37636_s.jpeg
37636,thumbnails/2484/37636_t.jpeg,thumbnails/2449/37636_t.jpeg
37892,previews/2713/37892_s.jpeg,previews/9/37892_s.jpeg
37892,thumbnails/2713/37892_t.jpeg,thumbnails/9/37892_t.jpeg
37892,thumbnails/2713/37892_t.jpeg,thumbnails/2705/37892_t.jpeg
37892,previews/2713/37892_s.jpeg,previews/2705/37892_s.jpeg
37892,images/2713/37892.tif,images/2705/37892.tif
38148,thumbnails/3013/38148_t.jpeg,thumbnails/9/38148_t.jpeg
38148,previews/3013/38148_s.jpeg,previews/9/38148_s.jpeg
38148,images/3013/38148.tif,images/2961/38148.tif
38148,thumbnails/3013/38148_t.jpeg,thumbnails/2961/38148_t.jpeg
38148,previews/3013/38148_s.jpeg,previews/2961/38148_s.jpeg
38404,thumbnails/3313/38404_t.jpeg,thumbnails/3217/38404_t.jpeg
38404,images/3313/38404.tif,images/3217/38404.tif
38404,previews/3313/38404_s.jpeg,previews/9/38404_s.jpeg
38404,thumbnails/3313/38404_t.jpeg,thumbnails/9/38404_t.jpeg
38404,previews/3313/38404_s.jpeg,previews/3217/38404_s.jpeg
38660,previews/3513/38660_s.jpeg,previews/3473/38660_s.jpeg
38660,images/3513/38660.tif,images/3473/38660.tif
38660,thumbnails/3513/38660_t.jpeg,thumbnails/9/38660_t.jpeg
38660,previews/3513/38660_s.jpeg,previews/9/38660_s.jpeg
38660,thumbnails/3513/38660_t.jpeg,thumbnails/3473/38660_t.jpeg
69637,images/25/69637.tif,images/0/69637.tif
27909,images/91/27909.tif,images/1/27909.tif
27909,previews/91/27909_s.jpeg,previews/1/27909_s.jpeg
27909,thumbnails/91/27909_t.jpeg,thumbnails/1/27909_t.jpeg
27909,thumbnails/91/27909_t.jpeg,thumbnails/4/27909_t.jpeg
27909,previews/91/27909_s.jpeg,previews/4/27909_s.jpeg
28165,thumbnails/291/28165_t.jpeg,thumbnails/4/28165_t.jpeg
28165,thumbnails/291/28165_t.jpeg,thumbnails/257/28165_t.jpeg
28165,previews/291/28165_s.jpeg,previews/257/28165_s.jpeg
28165,previews/291/28165_s.jpeg,previews/4/28165_s.jpeg
28165,images/291/28165.tif,images/257/28165.tif
